date	cases	term_yellow fever	term_febre amarala	argo_predictions						
1/3/16	4	0	8							
1/10/16	7	0	0							
1/17/16	11	100	74							
1/24/16	29	264	208							
1/31/16	56	238	246	57.81956157						
2/7/16	52	348	312	54.2907611						
2/14/16	62	423	324	39.33060883						
2/21/16	85	329	333	59.25970241						
2/28/16	84	353	317	63.94445005						
3/6/16	79	232	186	60.94052837						
3/13/16	66	304	199	63.32739243						
3/20/16	41	252	228	68.47696522						
3/27/16	27	248	203	46.47121323						
4/3/16	46	212	168	35.42776415						
4/10/16	33	235	195	47.23415939						
4/17/16	25	219	195	41.11273945						
4/24/16	29	85	95	24.74116039						
5/1/16	29	102	97	26.75732864						
5/8/16	37	94	60	22.36356703						
5/15/16	26	116	96	33.73997335						
5/22/16	25	74	50	22.15552679						
5/29/16	12	100	52	22.30821019						
6/5/16	6	91	56	14.97216945						
6/12/16	2	66	63	13.53094864						
6/19/16	1	83	77	13.05636081						
6/26/16	0	81	39	6.800052137						
7/3/16	0	64	28	3.038788988						
7/10/16	0	46	43	4.284443676						
7/17/16	0	78	77	7.720454955						
7/24/16	0	68	53	3.154428278						
