date,5/8/16,5/15/16,5/23/16,5/30/16,6/6/16,6/13/16,6/20/16,6/27/16,7/4/16,7/24/16,groundtruth
1/3/16,0,4,4,4,3,3,3,4,4,4,4
1/10/16,4,4,7,7,5,7,7,7,7,7,7
1/17/16,12,12,11,11,7,11,11,11,11,11,11
1/24/16,26,26,28,28,19,29,29,29,29,29,29
1/31/16,54,54,58,58,30,57,57,56,56,56,56
2/7/16,45,45,53,53,40,53,53,52,52,52,52
2/14/16,63,63,61,61,50,62,62,62,62,62,62
2/21/16,87,88,86,86,58,85,85,85,85,85,85
2/28/16,84,84,85,85,57,85,85,84,84,84,84
3/6/16,82,82,76,78,56,79,79,79,79,79,79
3/13/16,57,57,66,66,41,66,66,66,66,66,66
3/20/16,55,59,41,41,27,41,41,41,41,41,41
3/27/16,27,26,27,27,17,27,27,27,27,27,27
4/3/16,36,37,46,46,21,46,46,46,46,46,46
4/10/16,30,36,32,33,11,33,33,33,33,33,33
4/17/16,18,23,19,23,5,25,25,25,25,25,25
4/24/16,6,28,28,30,6,30,30,29,29,29,29
5/1/16,0,1,11,24,14,28,28,28,29,29,29
5/8/16,,0,0,23,6,37,37,37,37,37,37
5/15/16,,,,0,4,25,26,26,26,26,26
5/22/16,,,,,2,14,22,25,25,25,25
5/29/16,,,,,,0,4,9,12,12,12
6/5/16,,,,,,,1,4,6,6,6
6/12/16,,,,,,,,1,0,2,2
6/19/16,,,,,,,,,1,1,1
6/26/16,,,,,,,,,,0,0
7/3/16,,,,,,,,,,0,0
7/10/16,,,,,,,,,,0,0
7/17/16,,,,,,,,,,,0
7/24/16,,,,,,,,,,,0
