date,2/24/16,4/14/16,5/5/16,5/12/16,5/19/16,6/16/16,groundtruth
8/9/15,10,10,10,10,10,10,1
8/16/15,0,0,0,0,0,0,1
8/23/15,0,0,0,0,0,0,1
8/30/15,0,0,0,0,0,0,0
9/6/15,0,0,0,0,0,0,5
9/13/15,0,0,0,0,0,0,8
9/20/15,20,20,20,20,20,20,13
9/27/15,40,50,50,50,100,100,42
10/4/15,40,50,50,50,100,100,73
10/11/15,40,100,100,100,200,200,93
10/18/15,300,300,300,300,300,300,210
10/25/15,350,500,500,500,400,400,323
11/1/15,500,600,600,600,500,500,542
11/8/15,1050,1100,1100,1100,1200,1200,1099
11/15/15,1040,1200,1200,1200,1300,1300,1182
11/22/15,1800,1600,1600,1600,1400,1400,1282
11/29/15,1550,1700,1700,1700,1600,1600,1626
12/6/15,1450,1550,1550,1550,1500,1500,1560
12/13/15,1900,1900,1900,1900,1900,1900,1903
12/20/15,1450,1700,1700,1700,1700,1700,1619
12/27/15,1400,1500,1500,1500,1650,1650,1518
1/3/16,2100,2500,2500,2500,2600,2700,2415
1/10/16,2850,2800,2800,2800,3200,3300,2759
1/17/16,4050,4400,4400,4400,4500,4500,3763
1/24/16,5500,5800,5800,5800,5800,5700,5062
1/31/16,5600,6300,6300,6300,6200,5900,5681
2/7/16,3800,5100,5300,5300,5300,5300,4980
2/14/16,,4500,4300,4300,5000,4800,4373
2/21/16,,4100,4000,4000,4000,4000,3617
2/28/16,,3800,3600,3600,3800,4000,3616
3/6/16,,3300,3300,3300,3700,3700,3281
3/13/16,,2500,2800,2800,3000,2900,2680
3/20/16,,1600,2400,2400,2700,2400,2231
3/27/16,,,3600,3600,3700,3900,3518
4/3/16,,,3500,3500,3300,3500,3145
4/10/16,,,3300,3300,3200,3400,3123
4/17/16,,,2000,2600,3100,3200,2878
4/24/16,,,,1900,1800,3000,2753
5/1/16,,,,,1600,2800,2519
5/8/16,,,,,,2600,2409
5/15/16,,,,,,2600,2298
5/22/16,,,,,,2000,1161
5/29/16,,,,,,800,1572
6/5/16,,,,,,,2086
6/12/16,,,,,,,3421
6/19/16,,,,,,,1398
6/26/16,,,,,,,1134
7/3/16,,,,,,,984
7/10/16,,,,,,,933
