date,plague,pesta,peste pulmonaire,peste madagascar,peste
8/1/17,0,0,0,0,0
8/2/17,0,0,0,0,0
8/3/17,0,0,0,0,0
8/4/17,0,0,0,0,0
8/5/17,0,0,0,0,0
8/6/17,0,0,0,0,0
8/7/17,0,0,0,0,0
8/8/17,0,0,0,0,0
8/9/17,0,0,0,0,0
8/10/17,0,0,0,0,0
8/11/17,0,0,0,0,0
8/12/17,0,0,0,0,0
8/13/17,30,0,0,0,0
8/14/17,0,0,0,0,0
8/15/17,0,0,0,0,0
8/16/17,0,0,0,0,0
8/17/17,0,0,0,0,0
8/18/17,0,0,0,0,0
8/19/17,0,0,0,0,0
8/20/17,0,0,0,0,0
8/21/17,0,0,0,0,0
8/22/17,0,0,0,0,1
8/23/17,0,0,0,0,0
8/24/17,0,0,0,0,0
8/25/17,0,0,0,0,0
8/26/17,0,0,0,0,0
8/27/17,0,0,0,0,0
8/28/17,0,0,0,0,0
8/29/17,0,0,0,0,0
8/30/17,0,0,0,0,0
8/31/17,0,0,0,0,0
9/1/17,0,0,0,0,0
9/2/17,0,0,0,0,0
9/3/17,0,0,0,0,0
9/4/17,0,0,0,0,0
9/5/17,0,0,0,0,0
9/6/17,0,0,0,0,0
9/7/17,0,0,0,0,0
9/8/17,0,0,0,0,0
9/9/17,0,0,0,0,0
9/10/17,0,0,0,0,0
9/11/17,20,0,0,3,0
9/12/17,0,0,30,10,8
9/13/17,21,0,68,10,43
9/14/17,0,20,19,10,21
9/15/17,0,0,14,7,14
9/16/17,0,0,9,9,5
9/17/17,0,0,9,5,9
9/18/17,0,0,0,0,3
9/19/17,0,0,3,0,0
9/20/17,0,0,3,0,1
9/21/17,0,0,6,0,1
9/22/17,0,0,0,0,0
9/23/17,0,0,9,0,0
9/24/17,0,0,0,0,0
9/25/17,0,0,3,0,0
9/26/17,0,0,3,0,2
9/27/17,0,0,3,0,0
9/28/17,0,0,0,0,2
9/29/17,0,0,0,0,3
9/30/17,26,0,13,5,8
10/1/17,0,0,33,39,37
10/2/17,100,100,100,100,100
10/3/17,62,20,43,53,55
10/4/17,20,20,7,10,23
10/5/17,59,59,25,30,31
10/6/17,0,20,23,61,42
10/7/17,80,0,22,61,26
10/8/17,0,90,10,40,17
10/9/17,59,59,13,36,25
10/10/17,19,38,6,17,32
10/11/17,0,20,0,19,22
10/12/17,39,78,6,23,22
10/13/17,0,20,19,20,25
10/14/17,26,79,17,34,28
10/15/17,29,0,5,35,14
10/16/17,19,19,6,32,18
10/17/17,0,0,9,33,20
10/18/17,0,57,6,30,16
10/19/17,19,19,3,17,11
10/20/17,20,39,7,38,21
10/21/17,79,0,4,18,14
10/22/17,61,30,0,21,10
10/23/17,19,0,3,10,15
10/24/17,0,19,3,30,12
10/25/17,40,0,3,14,13
10/26/17,19,0,3,17,9
10/27/17,44,21,4,7,5
10/28/17,0,0,0,0,4
10/29/17,0,0,0,16,7
10/30/17,0,20,0,7,7
10/31/17,0,0,0,16,6
11/1/17,50,0,4,4,5
11/2/17,40,20,0,20,11
11/3/17,40,0,0,10,3
11/4/17,26,25,0,9,6
11/5/17,64,0,5,0,9
11/6/17,0,0,0,10,5
11/7/17,20,0,0,0,3
11/8/17,0,0,0,3,3
11/9/17,0,0,0,10,1
11/10/17,20,0,3,3,3
11/11/17,0,0,0,13,1
11/12/17,28,0,0,0,3
11/13/17,20,0,0,0,0
11/14/17,0,0,0,3,2
11/15/17,18,0,0,3,0
11/16/17,0,0,0,3,3
11/17/17,0,0,0,3,3
11/18/17,25,0,4,0,1
11/19/17,0,0,0,0,6
11/20/17,0,0,0,6,4
11/21/17,19,19,0,3,4
11/22/17,0,0,0,0,1
11/23/17,0,0,0,0,3
11/24/17,0,0,0,3,2
11/25/17,0,0,0,4,0
