date,10/5/17,10/13/17,10/16/17,10/18/17,10/31/17,11/6/17,11/9/17,11/14/17,11/17/17,11/20/17,11/27/17,groundtruth
8/1/17,0,0,0,0,0,0,0,0,0,0,0,0
8/2/17,0,0,0,0,0,0,0,0,0,0,0,0
8/3/17,0,0,0,0,0,0,0,0,0,0,0,0
8/4/17,0,0,0,0,0,0,0,0,0,0,0,0
8/5/17,0,0,0,0,0,0,0,0,0,0,0,0
8/6/17,0,0,0,0,0,0,0,0,0,0,0,0
8/7/17,0,0,0,0,0,0,0,0,0,0,0,0
8/8/17,0,0,0,0,0,0,0,0,0,0,0,0
8/9/17,0,0,0,0,0,0,0,0,0,0,0,0
8/10/17,0,0,0,0,0,0,0,0,0,0,0,0
8/11/17,0,0,0,0,0,0,0,0,0,0,0,0
8/12/17,0,0,0,0,0,0,0,0,0,0,0,0
8/13/17,0,0,0,0,0,0,0,0,0,0,0,0
8/14/17,0,0,0,0,1,0,0,0,0,0,0,0
8/15/17,0,0,0,0,0,0,0,0,0,0,0,0
8/16/17,0,0,0,0,0,0,0,0,0,0,0,0
8/17/17,0,0,0,0,0,0,0,0,0,0,0,0
8/18/17,0,0,0,0,0,0,0,0,0,0,0,0
8/19/17,0,0,0,0,0,0,0,0,0,0,0,0
8/20/17,0,0,0,0,0,0,1,0,0,1,1,1
8/21/17,0,0,0,0,0,0,0,0,0,0,0,0
8/22/17,0,0,0,0,0,0,0,0,0,0,0,0
8/23/17,0,1,1,1,1,1,1,1,1,1,1,1
8/24/17,0,0,0,0,0,0,0,0,0,0,0,0
8/25/17,0,0,0,0,0,0,0,0,0,0,0,0
8/26/17,0,0,0,0,2,0,1,0,1,1,1,1
8/27/17,0,0,0,0,0,0,0,0,0,0,0,0
8/28/17,1,1,1,1,1,1,1,1,1,1,1,1
8/29/17,0,0,0,0,2,1,1,1,1,1,1,1
8/30/17,0,0,0,0,1,0,0,0,0,0,0,0
8/31/17,0,0,0,0,0,0,0,0,0,0,0,0
9/1/17,1,0,0,0,1,1,1,1,1,2,2,2
9/2/17,0,0,0,1,1,1,1,1,1,1,1,1
9/3/17,1,1,1,1,2,1,2,1,2,2,2,2
9/4/17,0,0,0,0,0,0,0,0,0,0,0,0
9/5/17,2,2,2,2,2,2,2,2,2,2,2,2
9/6/17,1,2,2,2,2,2,1,0,1,1,1,1
9/7/17,0,1,1,1,2,1,2,2,2,2,2,2
9/8/17,1,1,1,1,4,1,1,2,1,1,1,1
9/9/17,1,1,1,1,3,1,1,1,1,1,1,1
9/10/17,1,1,1,1,4,1,1,1,1,1,1,1
9/11/17,3,3,3,3,8,3,3,3,3,3,3,3
9/12/17,9,9,10,10,12,10,11,11,10,11,11,11
9/13/17,3,3,3,3,8,6,6,5,6,6,6,6
9/14/17,5,5,5,5,10,5,5,5,5,5,5,4
9/15/17,2,3,3,3,7,4,4,4,4,4,4,3
9/16/17,0,0,0,0,3,0,0,0,0,0,0,0
9/17/17,3,4,4,4,8,4,7,7,7,7,7,6
9/18/17,2,2,2,2,5,2,1,1,1,1,1,1
9/19/17,1,1,1,1,5,1,1,1,1,1,1,1
9/20/17,1,1,1,1,5,2,2,1,2,2,2,2
9/21/17,2,2,2,2,4,2,2,2,2,2,2,2
9/22/17,0,0,0,0,1,0,0,0,0,0,0,0
9/23/17,3,3,3,3,2,3,3,3,3,3,3,2
9/24/17,1,4,4,4,4,6,6,6,6,6,6,6
9/25/17,1,0,2,2,3,3,2,2,2,2,2,1
9/26/17,1,4,4,4,5,5,5,5,5,5,5,5
