date,cholera
10/30/16,18
11/6/16,10
11/13/16,7
11/20/16,6
11/27/16,3
12/4/16,5
12/11/16,2
12/18/16,2
12/25/16,5
1/1/17,2
1/8/17,5
1/15/17,3
1/22/17,1
1/29/17,1
2/5/17,1
2/12/17,1
2/19/17,0
2/26/17,1
3/5/17,2
3/12/17,1
3/19/17,1
3/26/17,1
4/2/17,1
4/9/17,1
4/16/17,1
4/23/17,1
4/30/17,16
5/7/17,74
5/14/17,100
5/21/17,30
5/28/17,27
6/4/17,24
6/11/17,23
6/18/17,19
6/25/17,11
7/2/17,12
7/9/17,12
7/16/17,10
7/23/17,8
7/30/17,8
8/6/17,7
8/13/17,6
8/20/17,6
8/27/17,5
9/3/17,5
9/10/17,2
9/17/17,2
9/24/17,4
10/1/17,4
10/8/17,4
10/15/17,3
10/22/17,3
10/29/17,2
11/5/17,2
11/12/17,3
11/19/17,4
11/26/17,3
