date,cholera
1/3/16,1
1/10/16,1
1/17/16,0
1/24/16,1
1/31/16,2
2/7/16,1
2/14/16,1
2/21/16,1
2/28/16,2
3/6/16,1
3/13/16,1
3/20/16,1
3/27/16,0
4/3/16,1
4/10/16,0
4/17/16,0
4/24/16,0
5/1/16,1
5/8/16,0
5/15/16,1
5/22/16,1
5/29/16,0
6/5/16,2
6/12/16,0
6/19/16,0
6/26/16,0
7/3/16,0
7/10/16,0
7/17/16,0
7/24/16,0
7/31/16,1
8/7/16,0
8/14/16,0
8/21/16,0
8/28/16,1
9/4/16,1
9/11/16,1
9/18/16,0
9/25/16,2
10/2/16,4
10/9/16,18
10/16/16,45
10/23/16,23
10/30/16,20
11/6/16,9
11/13/16,6
11/20/16,4
11/27/16,3
12/4/16,3
12/11/16,3
12/18/16,3
12/25/16,4
1/1/17,3
1/8/17,2
1/15/17,2
1/22/17,1
1/29/17,1
2/5/17,1
2/12/17,1
2/19/17,0
2/26/17,1
3/5/17,5
3/12/17,1
3/19/17,0
3/26/17,1
4/2/17,2
4/9/17,2
4/16/17,2
4/23/17,1
4/30/17,15
5/7/17,82
5/14/17,100
5/21/17,34
5/28/17,20
6/4/17,18
6/11/17,25
6/18/17,28
6/25/17,19
7/2/17,15
7/9/17,11
7/16/17,9
7/23/17,12
7/30/17,7
8/6/17,5
8/13/17,6
8/20/17,4
8/27/17,6
9/3/17,4
9/10/17,3
9/17/17,3
9/24/17,3
10/1/17,7
10/8/17,4
10/15/17,3
10/22/17,6
10/29/17,4
11/5/17,3
11/12/17,1
11/19/17,3
11/26/17,2
12/3/17,2
12/10/17,1
12/17/17,3
12/24/17,5
12/31/17,1
1/7/18,3
1/14/18,2
1/21/18,3
1/28/18,1
2/4/18,2
2/11/18,1
2/18/18,4
2/25/18,3
3/4/18,3
3/11/18,2
3/18/18,3
3/25/18,1
4/1/18,1
4/8/18,4
4/15/18,2
4/22/18,2
4/29/18,2
5/6/18,2
5/13/18,0
5/20/18,2
5/27/18,1
6/3/18,1
6/10/18,2
6/17/18,1
6/24/18,1
7/1/18,2
7/8/18,5
7/15/18,3
7/22/18,2
7/29/18,1
8/5/18,0
8/12/18,4
8/19/18,3
8/26/18,2
9/2/18,3
9/9/18,4
9/16/18,3
9/23/18,1
9/30/18,3
10/7/18,4
10/14/18,3
10/21/18,8
10/28/18,4
11/4/18,3
11/11/18,3
11/18/18,2
11/25/18,2
12/2/18,7
12/9/18,1
12/16/18,2
12/23/18,4
12/30/18,4
1/6/19,1
1/13/19,2
