groundtruth,AR,GT,ARGO
1,,,
1,,,
1,,,
0,,,
5,,,
8,,,
13,2.0,1.6,2.185330144472201
42,-39.9565,2.6666666666666665,22.751527582024863
73,5.400000000000003,4.142857142857143,26.867489524458563
93,126.86925723369121,518.2039498811695,89.22170431308754
210,395.2028009272674,6.195697645918898,124.03222694352957
323,212.05060830700793,94.84856098953598,136.6261331861221
542,561.8072800880088,202.25475395797437,158.78672155692368
1099,997.1257271941128,414.9848165114528,592.5243518666487
1182,1447.3339588652345,463.2528102858864,895.693414543993
1282,3479.9177622076327,1649.576404980924,3457.2645582581836
1626,2919.134416950931,2026.5564595929036,2424.6752372004944
1560,1861.1050184585874,2896.9949606426862,1869.3755429290952
1903,2263.125596607225,3476.0302664996393,2554.517608745494
1619,2044.641209264071,2648.492042372955,2378.384715320813
1518,2288.0707659090617,2412.574810598923,2510.539605657255
2415,1891.5004033777204,3204.7883686702294,2507.7061725808394
2759,1591.0302734307247,2140.4962017379016,2066.733378977361
3763,2619.0670352504417,5385.8004354253235,4996.382142477857
5062,3242.6441660016717,5580.201910952808,5120.817905597598
5681,4803.751261042816,4433.325684521074,4432.316669653494
4980,7261.160792628027,3018.3021331664886,3078.7424823035353
4373,8295.580924539381,2234.9337015149113,2799.8106404280516
3617,6290.438356962652,1868.8192981513705,4163.870895304766
3616,4813.006221897398,1847.0247810043982,3471.4107684496494
3281,3755.473176219733,1883.7664302496758,2990.685148450901
2680,3689.3774736219398,1637.1003209009423,2842.737419767403
2231,3327.6611383751315,1762.1916844066418,2740.5005314215405
3518,2738.875621192942,1824.1272369903943,2413.416354432723
3145,2296.741198000011,1578.0707888693987,1989.6667151108375
3123,3345.950305427392,1723.5311337085677,2627.977598971745
2878,3076.6925082242487,1571.8763618149674,2453.6212757907983
2753,2961.4303951849906,1447.928389497065,2467.2261041274414
2519,2716.807945671145,1275.0545772007806,2294.8905274912577
2409,2635.967767108926,1642.0002256974947,2236.6549133622952
2298,2546.035910086056,1593.3340600461595,2082.7337727542977
1161,2468.4345626306667,1604.3724165826925,2017.5092632613823
1572,2366.0638770896985,1592.4723063276106,1957.8165045895523
2086,1366.0826545699092,1513.6129909918916,1250.1278728133198
3421,1697.504781168219,1424.0255731212198,1409.946676064588
1398,2149.4334367992788,1358.9271516187346,1652.6034989422567
1134,3303.6302435553725,1443.0561167950104,2443.647029250802
984,1595.9492220284308,1441.9707981194674,1386.8652746985208
933,1351.9225595846917,1313.0193146997378,1177.6350338493862
