groundtruth,AR,GT,ARGO
684,,,
684,,,
684,,,
1027,,,
1483,798.3333333333334,769.7500000000001,990.2613990755293
1369,2391.803677842566,1009.3188932195808,2015.1913248397534
2053,1281.7025944883098,1205.895090819869,1281.7025944883098
1369,2302.0171590682735,1450.7191546911806,2263.526598210578
913,1335.3341536087398,1267.8708667918982,1259.8092942447765
1141,1197.75,1379.1597071229232,1197.75
684,1191.4444444444443,1196.4806126158198,1162.6265466795287
798,912.4292379830124,1235.34520528316,1087.8685807009615
684,951.629688272475,1272.0043036575555,952.3152069733674
684,855.2873838762732,1214.0287559441945,856.2371859041025
456,835.6094228673599,1018.3571428571429,835.6094228673599
456,707.2514447904717,980.8666666666667,707.2514447904717
684,665.8125261490225,948.0625,665.8125261490225
684,853.3703424528958,932.5294117647059,853.3703424528958
456,837.148182619648,918.7222222222222,837.148182619648
228,712.5779336968968,894.3684210526316,712.5779336968968
456,370.8989820955824,861.05,371.15892173212904
0,552.1742288834604,841.7619047619048,552.1742288834604
456,143.06870424334045,803.5,143.06870424334045
228,537.9690470591981,783.6924594674211,537.9690470591981
228,344.34503654617845,752.7109095110225,344.34503654617845
228,332.5808187705005,715.3121080070332,332.5808187705005
684,322.9802457327801,920.6170581996321,322.9802457327801
3422,694.0515251172862,1069.0729412749301,1110.4575543123115
11635,2770.213353929511,818.6785714285714,2641.138958418298
22129,29159.311837438632,2006.3890434977661,18112.769772319596
24183,43733.60483355405,3777.8336484562105,41693.621366821266
31255,31099.712043013857,4409.9227781343025,30761.68675772588
38783,40198.40435536989,5397.963763061527,40198.40435536989
44715,48995.1056924932,5975.389738631404,48995.1056924932
47681,54357.60681416539,5627.8664455703765,54357.60681416539
50646,55353.17909170687,7032.303601739452,55353.17909170687
47909,57287.268027610684,8244.238337863566,57287.268027610684
43118,52014.53295383112,8908.540837789595,52014.53295383112
42890,45439.79553879176,9413.67659647136,45439.79553879176
40837,44878.74903230921,10299.368159204008,44878.74903230921
38099,42339.8310445088,10900.863017626682,42339.8310445088
36502,39194.919303894334,11420.001945258622,39194.919303894334
36730,37368.70594543055,12061.959677741093,37368.70594543055
38783,37553.779582577336,13489.186046511628,37553.779582577336
35361,39421.93766699998,14064.045454545452,39421.93766699998
40608,35730.168339681506,14537.311111111108,35730.168339681506
37643,41165.231120598946,15104.065217391304,41165.231120598946
36274,37704.6063602256,15583.617021276596,37704.6063602256
33764,35927.087789768826,16014.666666666666,35927.087789768826
31255,33443.769760355935,16376.897959183674,33443.769760355935
28517,30706.1435408477,16674.46,30706.1435408477
23042,27996.68947422247,16906.666666666668,27996.68947422247
21901,22900.90524769041,17024.653846153848,22900.90524769041
19620,21846.23814878441,17116.66037735849,21846.23814878441
17795,19801.49040243664,17163.01851851852,19801.49040243664
16198,18067.315237734343,17174.50909090909,18067.315237734343
13004,16517.007201551605,17157.071428571428,16517.007201551605
